college_code,college_name,type,region,district,local_area
VLIT,"VIGNANS LARA INST. OF TECHNOLOGY
AND SCI",PVT,,GTR,AU
VNIW,"VIGNANS NIRULA INST OF TECH. AND
SCI FOR WOMEN",PVT,,GTR,AU
VNRC,"VELAGA NAGESWARA RAO COLL OF
ENGINEERING",PVT,,GTR,AU
VPCV,"VIGNAN PHARMACY COLLEGE",PVT,,GTR,AU
VVITU,"VASIREDDY VENKATADRI INST. OF
TECHNOLOGY",PVT,,GTR,AU
ALIT,"ANDHRA LOYOLA INSTT OF ENGG AND
TECHNOLOGY",PVT,,KRI,AU
ANRG,"AKKINENI NAGESWARA RAO COLLEGE OF ENGINEERING AND TECHNOLOGY",PVT,,KRI,AU
ASIP,"AMRITA SAI INST. OF SCIENCE AND
TECHNOLOGY",PVT,,KRI,AU
DHAN,"DHANEKULA INST OF ENGG
TECHNOLOGY",PVT,,KRI,AU
GDLV,"SESHADRI RAO GUDLAVALLERU
ENGINEERING COLLEGE",PVT,,KRI,AU
KRUESF,"KRISHNA UNIVERSITY COLLEGE OF ENGG AND TECHNOLOGY-SELF FINAN",SF,,KRI,AU
LBCE,"LAKIREDDY BALIREDDY COLLEGE OF
ENGINEERING",PVT,,KRI,AU
LIMT,"LINGAYAS INST OF MGMT AND
TECHNOLOGY",PVT,,KRI,AU
MICT,"DVR AND DR.HS MIC COLLEGE OF
TECHNOLOGY",PVT,,KRI,AU
MIET,"MANDAVA INSTITUTE OF ENGG AND
TECHNOLOGY",PVT,,KRI,AU
MVRS,"M.V.R.COLL OF ENGINEERING AND
TECHNOLOGY",PVT,,KRI,AU
NRIA,"NRI INSTITUTE OF TECHNOLOGY",PVT,,KRI,AU
PPDV,"PALADUGU PARVATHI DEVI COLLEGE OF
ENGG AND TECH",PVT,,KRI,AU
PPSV,"PRASAD V POTLURI SIDDHARTHA INSTT
OF TECHNOLOGY",PVT,,KRI,AU
PSCV,"POTTI SRIRAMULU COLLEGE OF ENGG
AND TECHNOLOGY",PVT,,KRI,AU
RKCE,"R.K.COLLEGE OF ENGINEERING",PVT,,KRI,AU
SIEN,"SRI SARATHI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,,KRI,AU
SRKI,"S R K INST. OF TECHNOLOGY",PVT,,KRI,AU
SVET,"SRI VASAVI INSTT OF ENGINEERING AND
TECHNOLOGY",PVT,,KRI,AU
SVHE,"YJR DMS COLLEGE OF ENGINEERING",PVT,,KRI,AU
URCE,"USHA RAMA COLL OF ENGG AND
TECHNOLOGY",PVT,,KRI,AU
VCTN,"VIKAS COLLEGE OF ENGINEERING AND
TECHNOLOGY",PVT,,KRI,AU
VGTN,"VIKAS GROUP OF INSTITUTIONS",PVT,,KRI,AU
VHNI,"SREE VAHINI INSTT OF SCIENCE AND
TECHNOLOGY",PVT,,KRI,AU
VITW,"VIJAYA INST. OF TECHNOLOGY FOR
WOMEN",PVT,,KRI,AU
VRSP,"K V S R SIDDHARTHA COLLEGE OF
PHARMACEUTICAL SCI.S",PVT,,KRI,AU
VVGV,"VKR VNB AND AGK ENGINEERING
COLLEGE",PVT,,KRI,AU
ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PVT,,PKS,AU
ANNP,"ST.ANNS COLLEGE OF PHARAMACY",PVT,,PKS,AU
ANSN,"ST. ANNS COLLEGE OF ENGG. AND
TECHNOLOGY",PVT,,PKS,AU
BVSR,"BVSR ENGINEERING COLLEGE",PVT,,PKS,AU
CCVY,"VRS AND YRN COLLEGE OF ENGG. AND
TECHNOLOGY",PVT,,PKS,AU
CECC,"CHIRALA ENGINEERING COLLEGE",PVT,,PKS,AU
IITM,"INDIRA INST OF TECHNOLOGY SCI",PVT,,PKS,AU
KCIT,"KRISHNA CHAITANYA INST OF
TECHNOLOGY AND SCIENCES",PVT,,PKS,AU
MSEW,"MALINENI SUSEELAMMA WOMENS
ENGG COLLEGE",PVT,,PKS,AU
PACE,"PACE INSTITUTE OF TECHNOLOGY AND
SCIENCES",PVT,,PKS,AU
PKSK,"PRAKASAM ENGINEERING COLLEGE",PVT,,PKS,AU
QISE,"QIS COLLEGE OF ENGG. AND
TECHNOLOGY",PVT,,PKS,AU
QISP,"QIS COLLEGE OF PHARMACY",PVT,,PKS,AU
RPRA,"RISE KRISHNA SAI PRAKASAM GROUP
OF INSTITUTIONS",PVT,,PKS,AU
SGIT,"DR SAMUEL GEORGE INSTITUTE OF
ENGG. AND TECHNOLOGY",PVT,,PKS,AU
SHEC,"SRI HARSHINI COLLEGE OF
ENGINEERING AND TECHNOLOGY FOR WOMEN",PVT,,PKS,AU
ADIT,"ADITYA INSTITUTE OF TECHNOLOGY
AND MGMT",PVT,,SKL,AU
BRAUSF,"COLLEGE OF ENGINEERING BR
AMBEDKAR UNIV SELF FINANCE",SF,,SKL,AU
GMRI,"G M R INSTITUTE OF TECHNOLOGY",PVT,,SKL,AU
SSCE,"SRI SIVANI COLLEGE OF ENGINEERING",PVT,,SKL,AU
VETS,"SR VENKATESWARA COLL OF
ENGINEERING",PVT,,SKL,AU
VNKS,"SRI VENKATESWARA COLLEGE OF
PHARMACY",PVT,,SKL,AU
ACEV,"ALWAR COLLEGE OF ENGINEERING",PVT,,VSP,AU
ANIL,"ANIL NEERUKONDA INSTITUTE OF
TECHNOLOGY AND SCI",PVT,,VSP,AU
AUCE,"A U COLLEGE OF ENGG.
VISAKHAPATNAM",UNIV,,VSP,AU
AUCESF,"A U COLLEGE OF ENGG-SELF FINANCE
VISAKHAPATNAM",SF,,VSP,AU
AUCP,"AU COLLEGE OF ENGG. SCHOOL OF
PHARMACY",UNIV,,VSP,AU
AUCPSF,"AU COLLEGE OF ENGG.SCHOOL OF
PHARMACY-SELF FINANCE",SF,,VSP,AU
AUEWSF,"A U COLLEGE OF ENGG FOR WOMEN-
SELF FINANCE",SF,,VSP,AU
AVEN,"AVANTHI INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,,VSP,AU
BABA,"BABA INST OF TECH AND SCIENCES",PVT,,VSP,AU
BCET,"BEHARA COLLEGE OF ENGINEERING
AND TECHNOLOGY",PVT,,VSP,AU
CEVP,"CHAITANYA ENGINEERING COLLEGE",PVT,,VSP,AU
DIET,"DADI INSTT. OF ENGINEERING AND
TECHNOLOGY",PVT,,VSP,AU
DLBC,"DR L BULLAYYA COLL EGE OF
ENGINEERING",PVT,,VSP,AU
GITS,"GONNA INST OF INFO TECHNOLOGY
SCIENCES",PVT,,VSP,AU
GVPE,"GAYATHRI VIDYA PARISHAD COLL. OF
ENGINEERING",PVT,,VSP,AU
GVPT,"G V P COLLEGE FOR DEGREE AND PG
COURSES",PVT,,VSP,AU
GVPW,"GAYATHRI VIDYA PARISHAD COLL OF
ENGG FOR WOMEN",PVT,,VSP,AU
NSRE,"N S RAJU INSTITUTE OF ENGG AND
TECHNOLOGY",PVT,,VSP,AU
NSRT,"NADIMPALLI SATYANARAYANA RAJU
INSTITUTE OF TECHNOLOGY",PVT,,VSP,AU
RAGU,"RAGHU ENGINEERING COLLEGE",PVT,,VSP,AU
SAVE,"SANKETHIKA VIDYA PARISHAD
ENGINEERING COLLEGE",PVT,,VSP,AU
SIMH,"SIMHADRI EDNL SOC GRP OF INSTNS",PVT,,VSP,AU
VIEW,"VIGNANS INSTT OF ENGINEERING FOR
WOMEN",PVT,,VSP,AU
VIPV,"VIGNAN INST.OF PHARM.",PVT,,VSP,AU
VIVP,"VIGNANS INSTITUTE OF INFORMATION
TECHNOLOGY",PVT,,VSP,AU
VSPT,"VISAKHA INST OF ENGG AND
TECHNOLOGY",PVT,,VSP,AU
WSTM,"WELLFARE INST OF SCIENCE TECH AND
MGMT",PVT,,VSP,AU
ARTB,"AVANTHIS RESEARCH AND
TECHNOLOGICAL ACADEMY",PVT,,VZM,AU
ASTC,"AVANTHIS ST THERESSA INSTITUTE OF
ENGG AND TECHNOLOGY",PVT,,VZM,AU
AVEV,"AVANTHI INST. OF ENGINEERING AND
TECHNOLOGY",PVT,,VZM,AU
GGIB,"GOKUL GROUP OF INSTITUTIONS",PVT,,VZM,AU
JNTV,"JNTUGV COLLEGE OF ENGINEERING
VIZIANAGARAM",UNIV,,VZM,AU
JNTVSF,"JNTUGV COLLEGE OF ENGINEERING
VIZIANAGARAM -  SELF FINANACE",SF,,VZM,AU
LIET,"LENDI INST OF ENGG AND TECHNOLOGY",PVT,,VZM,AU
MRCL,"MIRACLE EDNL SOC GROUP OF INSTNS",PVT,,VZM,AU
MVRG,"M V G R COLLEGE OF ENGINEERNG",PVT,,VZM,AU
SGVP,"SATYA INST OF TECHNOLOGY AND
MGMT",PVT,,VZM,AU
BVRM,"BHIMAVARAM INST. OF ENGG. AND
TECHNOLOGY",PVT,,WG,AU
CRRE,"SIR C R R COLLEGE OF ENGINEERING",PVT,,WG,AU
DNRE,"DNR COLLEGE OF ENGG AND TECH",PVT,,WG,AU
ELRU,"ELURU COLLEGE OF ENGG AND
TECHNOLOGY",PVT,,WG,AU
HITE,"HELAPURI INST OF TECH AND SCIENCE",PVT,,WG,AU
ISTSOC,"INTERNATIONAL SCHOOL OF TECH AND
SCI -OFF CAMPUS",PVT,,WG,AU
RACE,"RAMACHANDRA COLLEGE OF
ENGINEERING",PVT,,WG,AU
SASI,"SASI INSTITUTE OF TECHNOLOGY AND
ENGINEERING",PVT,,WG,AU
SCPB,"SRI VISHNU COLLEGE OF PHARMACY",PVT,,WG,AU
SRKR,"S R K R ENGINEERING COLLEGE",PVT,,WG,AU
SWRN,"SWARNANDHRA COLL. OF ENGG AND
TECHNOLOGY",PVT,,WG,AU
VISW,"SHRI VISHNU ENGG. COLLEGE FOR
WOMEN",PVT,,WG,AU
VITB,"VISHNU GRP OF INSTNS - VISHNU INST
OF TECHNOLOGY",PVT,,WG,AU
VSVT,"SRI VASAVI ENGINEERING COLLEGE",PVT,,WG,AU
WISE,"WEST GODAVARI INSTT OF SCIENCE
AND ENGINEERING",PVT,,WG,AU
ALTS,"ANANTHA LAKSHMI INST OF
TECHNOLOGY AND SCI",PVT,,ATP,SVU
CRIT,"CHIRANJEEVI REDDY INST OF ENGG AND
TECHNOLOGY FOR WOMEN",PVT,,ATP,SVU
CVRT,"SIR C.V RAMAN INST OF TECHNOLOGY
SCIENCES",PVT,,ATP,SVU
GATE,"GATES INSTITUTE OF TECHNOLOGY",PVT,,ATP,SVU
JNTA,"JNTUA COLLEGE OF ENGG.
ANANTAPURAMU",UNIV,,ATP,SVU
JNTASF,"JNTUA COLLEGE OF ENGG.
ANANTAPURAMU - SELF FINANACE",SF,,ATP,SVU
JNTASS,"JNTUA COLLEGE OF ENGG. ANANTAPURAMU -  SELF SUPPORTING",SS,,ATP,SVU
PVKK,"P.V.K.K. INSTITUTE OF TECHNOLOGY",PVT,,ATP,SVU
PVKKOC,"P.V.K.K. INSTITUTE OF TECHNOLOGY-
OFF CAMPUS",PVT,,ATP,SVU
SKUASF,"SRI KRISHNADEVARAYA UNIV.COLL.OF
ENG.- SELF FINANCE",SF,,ATP,SVU
SKUPSF,"SKU COLL OF PHARMCEUTICAL SCIENCE-
SELF FINANCE",SF,,ATP,SVU
SRIT,"SRINIVASA RAMANUJAN INST OF
TECHNOLOGY",PVT,,ATP,SVU
SSSE,"SANSKRITHI SCHOOL OF ENGINEERING",PVT,,ATP,SVU
SVIT,"SRI VENKATESWARA INST OF
TECHNOLOGY",PVT,,ATP,SVU
TECH,"TADIPATRI ENGG COLLEGE",PVT,,ATP,SVU
ACEM,"ADITYA COLLEGE OF ENGINEERING",PVT,,CTR,SVU
AITT,"ANNAMACHARYA INST OF
TECHNOLOGYAND SCIENCES",PVT,,CTR,SVU
CHDL,"CHADALAWADA RAMANAMMA ENGG.
COLLEGE",PVT,,CTR,SVU
GVIC,"GOLDEN VALLEY INTEGRATED CAMPUS",PVT,,CTR,SVU
JNTC,"JNTUA COLLEGE OF ENGINEERING.
KALIKIRI",UNIV,,CTR,SVU
JNTSKSF,"JNTUA- SRI KALAHASTEESWARA INSTITUTE OF TECHNOLOGY-SELF FINA",SF,,CTR,SVU
KMMT,"KMM INST OF TECHNOLOGY AND
SCIENCE",PVT,,CTR,SVU
KUPM,"KUPPAM ENGINEERING COLLEGE",PVT,,CTR,SVU
MJRT,"MJR COLLEGE OF ENGG AND
TECHNOLOGY",PVT,,CTR,SVU
MTIE,"MOTHER THERESA INST OF ENGG AND
TECH",PVT,,CTR,SVU
SDTN,"SIDDHARTH INSTITUTE OF ENGG. AND
TECHNOLOGY",PVT,,CTR,SVU
SEAT,"SIDDARTHA EDNL ACADEMY GRP OF
INSTNS",PVT,,CTR,SVU
SESP,"SESHACHALA COLLEGE OF PHARMACY",PVT,,CTR,SVU
SHCP,"SEVEN HILLS COLLEGE OF PHARMACY",PVT,,CTR,SVU
SRET,"SREE RAMA ENGINEERING COLLEGE",PVT,,CTR,SVU
SSCC,"SRINIVASA INSTITUTE OF TECHNOLOGY
AND MANG STUDIES",PVT,,CTR,SVU
SVCE,"SRI VENKATESWARA COLL OF
ENGINEERING - MAIN CAMPUS",PVT,,CTR,SVU
SVCT,"SRI VENKATESWARA COLLEGE OF ENGG.
AND TECHNOLOGY",PVT,,CTR,SVU
SVEP,"S.V COLLEGE OF ENGINEERING",PVT,,CTR,SVU
SVPP,"SRI VENKATESA PERUMAL COLLEGE OF
ENGG. AND TECH",PVT,,CTR,SVU
SVUC,"S V U COLLEGE OF ENGG. TIRUPATHI",UNIV,,CTR,SVU
SVUCSS,"S V U COLLEGE OF ENGG. -SELF
SUPPORTING-TIRUPATHI",SS,,CTR,SVU
SVUPSF,"S V UNIVERSITY COLLEGE OF SCIENCES-
SELF FINANCE",SF,,CTR,SVU
VEMU,"VEMU COLLEGE OF PHARMACY AND
HEALTH SCIENCES",PVT,,CTR,SVU
VISM,"VISWAM ENGINEERING COLLEGE",PVT,,CTR,SVU
VJAM,"VIJAYAM INSTITUTE OF TECHNOLOGY",PVT,,CTR,SVU
AITK,"ANNAMACHARYA INST OF TECH AND
SCI",PVT,,KDP,SVU
ANCP,"ANNAMACHARYA COLLEGE OF
PHARMACY",PVT,,KDP,SVU
ANMB,"ACHARYA COLLEGE OF ENGINEERING",PVT,,KDP,SVU
BITS,"BHASKAR  INSTITUTE  OF TECHNOLOGY
& SCIENCE",PVT,,KDP,SVU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF
TECHNOLOGY",PVT,,KDP,SVU
GTMW,"GOUTHAMI INST OF TECHNOLOGY
MGMT FOR WOMEN",PVT,,KDP,SVU
JNTP,"JNTUA COLLEGE OF ENGG
PULIVENDULA",UNIV,,KDP,SVU
KLMW,"KANDULA LAKSHUMMA MEMORIAL
COLLEGE OF ENGG FOR WOMEN",PVT,,KDP,SVU
KORM,"KANDULA OBUL REDDY MEMORIAL
COLL. OF ENGG.",PVT,,KDP,SVU
KSRM,"K S R M COLLEGE OF ENGINEERING",PVT,,KDP,SVU
SATS,"SRI ANNAMACHARYA INSTITUTE OF
TECHNOLOGY AND SCIENCE",PVT,,KDP,SVU
